"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","906","test_user_create[api-22]","tests.endpoints","Sun Dec 01 20:21:31 GMT 2024","passed","Sun Dec 01 20:21:32 GMT 2024","","test_users","",""
"","4036","test_get_cart[api-12]","tests.endpoints","Sun Dec 01 20:21:22 GMT 2024","passed","Sun Dec 01 20:21:26 GMT 2024","","test_cart","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Sun Dec 01 20:21:36 GMT 2024","skipped","Sun Dec 01 20:21:36 GMT 2024","","test_avatar","",""
"","1472","test_get_single_user[api-23]","tests.endpoints","Sun Dec 01 20:21:32 GMT 2024","passed","Sun Dec 01 20:21:33 GMT 2024","","test_users","",""
"","1591","test_update_user_email_already_exist[api-4]","tests.endpoints","Sun Dec 01 20:21:27 GMT 2024","passed","Sun Dec 01 20:21:29 GMT 2024","","test_users","",""
"","1237","test_delete_nonexisting_user[api-1]","tests.endpoints","Sun Dec 01 20:21:26 GMT 2024","passed","Sun Dec 01 20:21:27 GMT 2024","","test_users","",""
"","1849","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Sun Dec 01 20:21:29 GMT 2024","passed","Sun Dec 01 20:21:31 GMT 2024","","test_users","",""
"","2145","test_total_users_amount[5-api-6]","tests.endpoints","Sun Dec 01 20:21:24 GMT 2024","passed","Sun Dec 01 20:21:26 GMT 2024","","test_users","",""
"","5192","test_change_order_status[canceled-api-18]","tests.endpoints","Sun Dec 01 20:21:31 GMT 2024","passed","Sun Dec 01 20:21:36 GMT 2024","","test_orders","",""
"","745","test_search_games[Atomic Heart-api-2]","tests.endpoints","Sun Dec 01 20:21:33 GMT 2024","passed","Sun Dec 01 20:21:34 GMT 2024","","test_games","",""
"","3763","test_flush_cart[api-15]","tests.endpoints","Sun Dec 01 20:21:32 GMT 2024","passed","Sun Dec 01 20:21:36 GMT 2024","","test_cart","",""
"","5405","test_remove_item_wishlist[api-8]","tests.endpoints","Sun Dec 01 20:21:25 GMT 2024","passed","Sun Dec 01 20:21:31 GMT 2024","","test_wishlist","",""
"","704","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Sun Dec 01 20:21:34 GMT 2024","passed","Sun Dec 01 20:21:35 GMT 2024","","test_games","",""
"","4445","test_validate_payment[api-19]","tests.endpoints","Sun Dec 01 20:21:35 GMT 2024","passed","Sun Dec 01 20:21:40 GMT 2024","","test_payments","",""
"","5292","test_orders_limit[api-17]","tests.endpoints","Sun Dec 01 20:21:25 GMT 2024","passed","Sun Dec 01 20:21:31 GMT 2024","","test_orders","",""
"","3382","test_add_item_wishlist[api-16]","tests.endpoints","Sun Dec 01 20:21:22 GMT 2024","passed","Sun Dec 01 20:21:25 GMT 2024","","test_orders","",""
"","2950","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Sun Dec 01 20:21:31 GMT 2024","passed","Sun Dec 01 20:21:33 GMT 2024","","test_wishlist","",""
"","1169","test_create_user_nick_used[api-3]","tests.endpoints","Sun Dec 01 20:21:22 GMT 2024","passed","Sun Dec 01 20:21:23 GMT 2024","","test_users","",""
"","2276","test_update_userpwd_and_login[api-24]","tests.endpoints","Sun Dec 01 20:21:33 GMT 2024","passed","Sun Dec 01 20:21:35 GMT 2024","","test_users","",""
"","5885","test_delete_item[api-14]","tests.endpoints","Sun Dec 01 20:21:26 GMT 2024","passed","Sun Dec 01 20:21:32 GMT 2024","","test_cart","",""
"","916","test_total_users[api-21]","tests.endpoints","Sun Dec 01 20:21:23 GMT 2024","passed","Sun Dec 01 20:21:24 GMT 2024","","test_users","",""
"","3296","test_add_item_wishlist[api-5]","tests.endpoints","Sun Dec 01 20:21:22 GMT 2024","passed","Sun Dec 01 20:21:25 GMT 2024","","test_wishlist","",""
"","901","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Sun Dec 01 20:21:36 GMT 2024","passed","Sun Dec 01 20:21:37 GMT 2024","","test_categories","",""
"","3468","test_change_item[api-13]","tests.endpoints","Sun Dec 01 20:21:36 GMT 2024","passed","Sun Dec 01 20:21:39 GMT 2024","","test_cart","",""
