"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2809","test_flush_cart[api-15]","tests.endpoints","Sun Dec 01 20:29:53 GMT 2024","failed","Sun Dec 01 20:29:56 GMT 2024","","test_cart","",""
"","488","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Sun Dec 01 20:29:54 GMT 2024","failed","Sun Dec 01 20:29:55 GMT 2024","","test_games","",""
"","3450","test_validate_payment[api-19]","tests.endpoints","Sun Dec 01 20:29:55 GMT 2024","failed","Sun Dec 01 20:29:59 GMT 2024","","test_payments","",""
"","520","test_delete_nonexisting_user[api-1]","tests.endpoints","Sun Dec 01 20:29:49 GMT 2024","failed","Sun Dec 01 20:29:49 GMT 2024","","test_users","",""
"","1683","test_update_userpwd_and_login[api-24]","tests.endpoints","Sun Dec 01 20:29:54 GMT 2024","failed","Sun Dec 01 20:29:55 GMT 2024","","test_users","",""
"","2827","test_change_item[api-13]","tests.endpoints","Sun Dec 01 20:29:56 GMT 2024","failed","Sun Dec 01 20:29:59 GMT 2024","","test_cart","",""
"","1384","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Sun Dec 01 20:29:51 GMT 2024","failed","Sun Dec 01 20:29:52 GMT 2024","","test_users","",""
"","676","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Sun Dec 01 20:29:55 GMT 2024","failed","Sun Dec 01 20:29:56 GMT 2024","","test_categories","",""
"","1162","test_get_single_user[api-23]","tests.endpoints","Sun Dec 01 20:29:52 GMT 2024","failed","Sun Dec 01 20:29:54 GMT 2024","","test_users","",""
"","3352","test_get_cart[api-12]","tests.endpoints","Sun Dec 01 20:29:45 GMT 2024","failed","Sun Dec 01 20:29:48 GMT 2024","","test_cart","",""
"","4299","test_orders_limit[api-17]","tests.endpoints","Sun Dec 01 20:29:48 GMT 2024","failed","Sun Dec 01 20:29:52 GMT 2024","","test_orders","",""
"","657","test_search_games[Atomic Heart-api-2]","tests.endpoints","Sun Dec 01 20:29:54 GMT 2024","failed","Sun Dec 01 20:29:54 GMT 2024","","test_games","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Sun Dec 01 20:29:55 GMT 2024","skipped","Sun Dec 01 20:29:55 GMT 2024","","test_avatar","",""
"","2544","test_add_item_wishlist[api-16]","tests.endpoints","Sun Dec 01 20:29:45 GMT 2024","failed","Sun Dec 01 20:29:47 GMT 2024","","test_orders","",""
"","498","test_user_create[api-22]","tests.endpoints","Sun Dec 01 20:29:52 GMT 2024","failed","Sun Dec 01 20:29:52 GMT 2024","","test_users","",""
"","4149","test_remove_item_wishlist[api-8]","tests.endpoints","Sun Dec 01 20:29:47 GMT 2024","failed","Sun Dec 01 20:29:51 GMT 2024","","test_wishlist","",""
"","3472","test_change_order_status[canceled-api-18]","tests.endpoints","Sun Dec 01 20:29:52 GMT 2024","failed","Sun Dec 01 20:29:55 GMT 2024","","test_orders","",""
"","1335","test_total_users[api-21]","tests.endpoints","Sun Dec 01 20:29:46 GMT 2024","failed","Sun Dec 01 20:29:47 GMT 2024","","test_users","",""
"","878","test_create_user_nick_used[api-3]","tests.endpoints","Sun Dec 01 20:29:45 GMT 2024","failed","Sun Dec 01 20:29:46 GMT 2024","","test_users","",""
"","2300","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Sun Dec 01 20:29:51 GMT 2024","failed","Sun Dec 01 20:29:54 GMT 2024","","test_wishlist","",""
"","2240","test_add_item_wishlist[api-5]","tests.endpoints","Sun Dec 01 20:29:45 GMT 2024","failed","Sun Dec 01 20:29:47 GMT 2024","","test_wishlist","",""
"","1379","test_total_users_amount[5-api-6]","tests.endpoints","Sun Dec 01 20:29:47 GMT 2024","failed","Sun Dec 01 20:29:49 GMT 2024","","test_users","",""
"","1368","test_update_user_email_already_exist[api-4]","tests.endpoints","Sun Dec 01 20:29:49 GMT 2024","failed","Sun Dec 01 20:29:51 GMT 2024","","test_users","",""
"","4877","test_delete_item[api-14]","tests.endpoints","Sun Dec 01 20:29:48 GMT 2024","failed","Sun Dec 01 20:29:53 GMT 2024","","test_cart","",""
