"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","671","test_delete_nonexisting_user[api-1]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","failed","Mon Dec 02 13:31:19 GMT 2024","","test_users","",""
"","898","test_search_games[Atomic Heart-api-2]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","broken","Mon Dec 02 13:31:20 GMT 2024","","test_games","",""
"","1011","test_total_users_amount[5-api-6]","tests.endpoints","Mon Dec 02 13:31:18 GMT 2024","broken","Mon Dec 02 13:31:19 GMT 2024","","test_users","",""
"","874","test_change_item[api-13]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","broken","Mon Dec 02 13:31:20 GMT 2024","","test_cart","",""
"","1016","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Mon Dec 02 13:31:18 GMT 2024","broken","Mon Dec 02 13:31:19 GMT 2024","","test_wishlist","",""
"","1067","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Mon Dec 02 13:31:20 GMT 2024","broken","Mon Dec 02 13:31:21 GMT 2024","","test_categories","",""
"","883","test_flush_cart[api-15]","tests.endpoints","Mon Dec 02 13:31:18 GMT 2024","broken","Mon Dec 02 13:31:19 GMT 2024","","test_cart","",""
"","1160","test_update_user_email_already_exist[api-4]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","broken","Mon Dec 02 13:31:21 GMT 2024","","test_users","",""
"","1137","test_get_cart[api-12]","tests.endpoints","Mon Dec 02 13:31:16 GMT 2024","broken","Mon Dec 02 13:31:17 GMT 2024","","test_cart","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","skipped","Mon Dec 02 13:31:19 GMT 2024","","test_avatar","",""
"","1082","test_add_item_wishlist[api-5]","tests.endpoints","Mon Dec 02 13:31:16 GMT 2024","broken","Mon Dec 02 13:31:17 GMT 2024","","test_wishlist","",""
"","1777","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Mon Dec 02 13:31:21 GMT 2024","failed","Mon Dec 02 13:31:22 GMT 2024","","test_users","",""
"","1090","test_create_user_nick_used[api-3]","tests.endpoints","Mon Dec 02 13:31:16 GMT 2024","failed","Mon Dec 02 13:31:17 GMT 2024","","test_users","",""
"","1053","test_orders_limit[api-17]","tests.endpoints","Mon Dec 02 13:31:17 GMT 2024","broken","Mon Dec 02 13:31:18 GMT 2024","","test_orders","",""
"","940","test_validate_payment[api-19]","tests.endpoints","Mon Dec 02 13:31:19 GMT 2024","broken","Mon Dec 02 13:31:20 GMT 2024","","test_payments","",""
"","1023","test_change_order_status[canceled-api-18]","tests.endpoints","Mon Dec 02 13:31:18 GMT 2024","broken","Mon Dec 02 13:31:19 GMT 2024","","test_orders","",""
"","785","test_user_create[api-22]","tests.endpoints","Mon Dec 02 13:31:22 GMT 2024","failed","Mon Dec 02 13:31:23 GMT 2024","","test_users","",""
"","890","test_delete_item[api-14]","tests.endpoints","Mon Dec 02 13:31:17 GMT 2024","broken","Mon Dec 02 13:31:18 GMT 2024","","test_cart","",""
"","905","test_update_userpwd_and_login[api-24]","tests.endpoints","Mon Dec 02 13:31:24 GMT 2024","broken","Mon Dec 02 13:31:25 GMT 2024","","test_users","",""
"","923","test_total_users[api-21]","tests.endpoints","Mon Dec 02 13:31:17 GMT 2024","broken","Mon Dec 02 13:31:18 GMT 2024","","test_users","",""
"","1185","test_get_single_user[api-23]","tests.endpoints","Mon Dec 02 13:31:23 GMT 2024","failed","Mon Dec 02 13:31:24 GMT 2024","","test_users","",""
"","1040","test_remove_item_wishlist[api-8]","tests.endpoints","Mon Dec 02 13:31:17 GMT 2024","broken","Mon Dec 02 13:31:18 GMT 2024","","test_wishlist","",""
"","457","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Mon Dec 02 13:31:20 GMT 2024","failed","Mon Dec 02 13:31:20 GMT 2024","","test_games","",""
"","1125","test_add_item_wishlist[api-16]","tests.endpoints","Mon Dec 02 13:31:16 GMT 2024","broken","Mon Dec 02 13:31:17 GMT 2024","","test_orders","",""
