"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3602","test_change_order_status[canceled-api-18]","tests.endpoints","Mon Dec 02 13:23:04 GMT 2024","passed","Mon Dec 02 13:23:08 GMT 2024","","test_orders","",""
"","1198","test_update_user_email_already_exist[api-4]","tests.endpoints","Mon Dec 02 13:23:02 GMT 2024","passed","Mon Dec 02 13:23:03 GMT 2024","","test_users","",""
"","2485","test_add_item_wishlist[api-5]","tests.endpoints","Mon Dec 02 13:22:58 GMT 2024","passed","Mon Dec 02 13:23:01 GMT 2024","","test_wishlist","",""
"","712","test_search_games[Atomic Heart-api-2]","tests.endpoints","Mon Dec 02 13:23:08 GMT 2024","passed","Mon Dec 02 13:23:09 GMT 2024","","test_games","",""
"","803","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Mon Dec 02 13:23:07 GMT 2024","passed","Mon Dec 02 13:23:08 GMT 2024","","test_categories","",""
"","3249","test_get_cart[api-12]","tests.endpoints","Mon Dec 02 13:22:58 GMT 2024","passed","Mon Dec 02 13:23:01 GMT 2024","","test_cart","",""
"","553","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Mon Dec 02 13:23:09 GMT 2024","passed","Mon Dec 02 13:23:09 GMT 2024","","test_games","",""
"","772","test_total_users[api-21]","tests.endpoints","Mon Dec 02 13:22:59 GMT 2024","passed","Mon Dec 02 13:23:00 GMT 2024","","test_users","",""
"","1815","test_update_userpwd_and_login[api-24]","tests.endpoints","Mon Dec 02 13:23:06 GMT 2024","passed","Mon Dec 02 13:23:08 GMT 2024","","test_users","",""
"","2348","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Mon Dec 02 13:23:05 GMT 2024","passed","Mon Dec 02 13:23:07 GMT 2024","","test_wishlist","",""
"","2730","test_flush_cart[api-15]","tests.endpoints","Mon Dec 02 13:23:06 GMT 2024","passed","Mon Dec 02 13:23:09 GMT 2024","","test_cart","",""
"","3903","test_orders_limit[api-17]","tests.endpoints","Mon Dec 02 13:23:00 GMT 2024","passed","Mon Dec 02 13:23:04 GMT 2024","","test_orders","",""
"","1290","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Mon Dec 02 13:23:03 GMT 2024","passed","Mon Dec 02 13:23:05 GMT 2024","","test_users","",""
"","815","test_delete_nonexisting_user[api-1]","tests.endpoints","Mon Dec 02 13:23:01 GMT 2024","passed","Mon Dec 02 13:23:02 GMT 2024","","test_users","",""
"","839","test_create_user_nick_used[api-3]","tests.endpoints","Mon Dec 02 13:22:58 GMT 2024","passed","Mon Dec 02 13:22:59 GMT 2024","","test_users","",""
"","2158","test_add_item_wishlist[api-16]","tests.endpoints","Mon Dec 02 13:22:58 GMT 2024","passed","Mon Dec 02 13:23:00 GMT 2024","","test_orders","",""
"","3651","test_validate_payment[api-19]","tests.endpoints","Mon Dec 02 13:23:08 GMT 2024","passed","Mon Dec 02 13:23:12 GMT 2024","","test_payments","",""
"","1150","test_get_single_user[api-23]","tests.endpoints","Mon Dec 02 13:23:05 GMT 2024","passed","Mon Dec 02 13:23:06 GMT 2024","","test_users","",""
"","4538","test_delete_item[api-14]","tests.endpoints","Mon Dec 02 13:23:01 GMT 2024","passed","Mon Dec 02 13:23:06 GMT 2024","","test_cart","",""
"","686","test_user_create[api-22]","tests.endpoints","Mon Dec 02 13:23:05 GMT 2024","passed","Mon Dec 02 13:23:05 GMT 2024","","test_users","",""
"","4236","test_remove_item_wishlist[api-8]","tests.endpoints","Mon Dec 02 13:23:01 GMT 2024","passed","Mon Dec 02 13:23:05 GMT 2024","","test_wishlist","",""
"","3016","test_change_item[api-13]","tests.endpoints","Mon Dec 02 13:23:09 GMT 2024","passed","Mon Dec 02 13:23:12 GMT 2024","","test_cart","",""
"","1450","test_total_users_amount[5-api-6]","tests.endpoints","Mon Dec 02 13:23:00 GMT 2024","passed","Mon Dec 02 13:23:01 GMT 2024","","test_users","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Mon Dec 02 13:23:07 GMT 2024","skipped","Mon Dec 02 13:23:07 GMT 2024","","test_avatar","",""
