"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","916","test_delete_nonexisting_user[api-1]","tests.endpoints","Sun Dec 01 20:18:42 GMT 2024","failed","Sun Dec 01 20:18:43 GMT 2024","","test_users","",""
"","1221","test_create_user_nick_used[api-3]","tests.endpoints","Sun Dec 01 20:18:38 GMT 2024","failed","Sun Dec 01 20:18:39 GMT 2024","","test_users","",""
"","1588","test_get_single_user[api-23]","tests.endpoints","Sun Dec 01 20:18:47 GMT 2024","failed","Sun Dec 01 20:18:48 GMT 2024","","test_users","",""
"","4704","test_get_cart[api-12]","tests.endpoints","Sun Dec 01 20:18:38 GMT 2024","failed","Sun Dec 01 20:18:43 GMT 2024","","test_cart","",""
"","5645","test_change_order_status[canceled-api-18]","tests.endpoints","Sun Dec 01 20:18:47 GMT 2024","failed","Sun Dec 01 20:18:52 GMT 2024","","test_orders","",""
"","695","test_user_create[api-22]","tests.endpoints","Sun Dec 01 20:18:46 GMT 2024","failed","Sun Dec 01 20:18:47 GMT 2024","","test_users","",""
"","5265","test_orders_limit[api-17]","tests.endpoints","Sun Dec 01 20:18:41 GMT 2024","failed","Sun Dec 01 20:18:47 GMT 2024","","test_orders","",""
"","623","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Sun Dec 01 20:18:51 GMT 2024","failed","Sun Dec 01 20:18:51 GMT 2024","","test_games","",""
"","2967","test_add_item_wishlist[api-5]","tests.endpoints","Sun Dec 01 20:18:38 GMT 2024","failed","Sun Dec 01 20:18:41 GMT 2024","","test_wishlist","",""
"","4908","test_validate_payment[api-19]","tests.endpoints","Sun Dec 01 20:18:51 GMT 2024","failed","Sun Dec 01 20:18:56 GMT 2024","","test_payments","",""
"","883","test_total_users[api-21]","tests.endpoints","Sun Dec 01 20:18:39 GMT 2024","failed","Sun Dec 01 20:18:40 GMT 2024","","test_users","",""
"","1969","test_total_users_amount[5-api-6]","tests.endpoints","Sun Dec 01 20:18:40 GMT 2024","failed","Sun Dec 01 20:18:42 GMT 2024","","test_users","",""
"","1504","test_update_user_email_already_exist[api-4]","tests.endpoints","Sun Dec 01 20:18:43 GMT 2024","failed","Sun Dec 01 20:18:45 GMT 2024","","test_users","",""
"","2990","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Sun Dec 01 20:18:47 GMT 2024","failed","Sun Dec 01 20:18:50 GMT 2024","","test_wishlist","",""
"","5631","test_remove_item_wishlist[api-8]","tests.endpoints","Sun Dec 01 20:18:41 GMT 2024","failed","Sun Dec 01 20:18:47 GMT 2024","","test_wishlist","",""
"","3788","test_flush_cart[api-15]","tests.endpoints","Sun Dec 01 20:18:48 GMT 2024","failed","Sun Dec 01 20:18:52 GMT 2024","","test_cart","",""
"","2302","test_update_userpwd_and_login[api-24]","tests.endpoints","Sun Dec 01 20:18:48 GMT 2024","failed","Sun Dec 01 20:18:51 GMT 2024","","test_users","",""
"","3187","test_add_item_wishlist[api-16]","tests.endpoints","Sun Dec 01 20:18:38 GMT 2024","failed","Sun Dec 01 20:18:41 GMT 2024","","test_orders","",""
"","881","test_search_games[Atomic Heart-api-2]","tests.endpoints","Sun Dec 01 20:18:50 GMT 2024","failed","Sun Dec 01 20:18:51 GMT 2024","","test_games","",""
"","5388","test_delete_item[api-14]","tests.endpoints","Sun Dec 01 20:18:43 GMT 2024","failed","Sun Dec 01 20:18:48 GMT 2024","","test_cart","",""
"","869","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Sun Dec 01 20:18:52 GMT 2024","failed","Sun Dec 01 20:18:53 GMT 2024","","test_categories","",""
"","1462","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Sun Dec 01 20:18:45 GMT 2024","failed","Sun Dec 01 20:18:46 GMT 2024","","test_users","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Sun Dec 01 20:18:52 GMT 2024","skipped","Sun Dec 01 20:18:52 GMT 2024","","test_avatar","",""
"","3439","test_change_item[api-13]","tests.endpoints","Sun Dec 01 20:18:52 GMT 2024","failed","Sun Dec 01 20:18:55 GMT 2024","","test_cart","",""
